kind	canonicalIndex	canonicalText	formation
CUTLET	1	ⲭⲁⲗⲕⲟⲥ	SEMANTIC_GREEK_LOAN
CUTLET	2	ⲃⲁϣⲟⲣ	SEMANTIC_NATIVE
CUTLET	3	ⲛⲉⲫⲣⲟⲥ	SEMANTIC_GREEK_LOAN
CUTLET	4	ⲗⲁⲣⲓⲝ	SEMANTIC_INTERNATIONAL_LOAN
CUTLET	5	ⲙⲟⲕⲙⲉⲕ	SEMANTIC_NATIVE
CUTLET	6	ϥⲧⲟⲟⲩ ⲛⲙⲉⲣⲟⲥ ϩⲛ ⲯⲓⲧ	SEMANTIC_PHRASE
CUTLET	7	ⲡⲗⲅⲟⲩⲣϣ	NONSEMANTIC_TRANSLITERATION
CUTLET	8	ⲕⲁϣ	SEMANTIC_NATIVE
CUTLET	9	ⲃⲟⲧⲣⲩⲥ	SEMANTIC_GREEK_LOAN
CUTLET	10	ⲥⲕⲟⲣⲡⲓⲟⲥ	SEMANTIC_GREEK_LOAN
CUTLET	11	ⲕⲣⲙⲉⲥ	SEMANTIC_NATIVE
CUTLET	12	ⲥⲟⲩⲟ	SEMANTIC_NATIVE
CUTLET	13	ⲓⲉⲣⲟ	SEMANTIC_NATIVE
CUTLET	14	ⲥⲱⲃⲉ	SEMANTIC_NATIVE
CUTLET	15	Ⲁⲕⲕⲁⲇ	PROPER_NAME_TRANSLITERATION
CUTLET	16	ⲧⲁⲡ	SEMANTIC_NATIVE
CUTLET	17	ⲕⲉⲣⲁⲙⲓⲟⲛ ⲉϥϣⲟⲩⲉⲓⲧ	SEMANTIC_PHRASE
MONTH	1	ⲟⲙⲉ	SEMANTIC_NATIVE
MONTH	2	ϩⲉⲣⲙⲁⲛ	SEMANTIC_NATIVE
MONTH	3	ⲁⲅⲕⲱⲛ	SEMANTIC_GREEK_LOAN
MONTH	4	ⲗⲁ	SEMANTIC_NATIVE
MONTH	5	Ⲉⲣⲓⲇⲟⲩ	PROPER_NAME_TRANSLITERATION
MONTH	6	ⲟⲇⲟⲛⲧⲟⲕⲣⲉⲙⲁ	SEMANTIC_INTERNATIONAL_LOAN
MONTH	7	ϣⲟⲙⲛⲧ ⲛⲙⲉⲣⲟⲥ ϩⲛ ϯⲟⲩ	SEMANTIC_PHRASE
MONTH	8	ⲕⲣϣⲟⲩⲙⲃ	NONSEMANTIC_TRANSLITERATION
MONTH	9	ⲧⲓⲅⲣⲓⲥ	SEMANTIC_GREEK_LOAN
MONTH	10	ⲕⲁⲥⲥⲓⲧⲉⲣⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	11	ⲟⲙⲓⲭⲗⲏ	SEMANTIC_GREEK_LOAN
MONTH	12	ⲗⲓⲃⲁⲛⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	13	ⲁⲧⲣⲁⲕⲧⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	14	ⲡⲗⲉⲩⲣⲁ	SEMANTIC_GREEK_LOAN
MONTH	15	ⲭⲁⲣⲟⲩⲡⲓⲟⲛ	SEMANTIC_GREEK_LOAN
MONTH	16	Ⲟⲩⲣⲟⲩⲕ	PROPER_NAME_TRANSLITERATION
MONTH	17	ϣⲓⲡⲉ	SEMANTIC_NATIVE
MONTH	18	ⲕⲁⲙⲏⲗⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	19	ⲭⲁⲗⲕⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	20	ⲫⲣⲉⲁⲣ	SEMANTIC_GREEK_LOAN
MONTH	21	ⲗⲉⲕⲓⲑⲟⲥ	SEMANTIC_GREEK_LOAN
MONTH	22	ⲥⲓⲟⲩ	SEMANTIC_NATIVE
MONTH	23	ⲉⲃⲓⲱ	SEMANTIC_NATIVE
MONTH	24	ⲥⲡⲗⲏⲛ	SEMANTIC_GREEK_LOAN
