type	canonicalIndex	galego	criterio
cutlet	1	bronce	tradución
cutlet	2	raposo	tradución
cutlet	3	ril	tradución
cutlet	4	Lagash	transliteración
cutlet	5	pensamento	tradución
cutlet	6	catro partes de nove	tradución
cutlet	7	Palgurash	transliteración
cutlet	8	xunco	tradución
cutlet	9	acio	tradución
cutlet	10	escorpión	tradución
cutlet	11	cinza	tradución
cutlet	12	trigo	tradución
cutlet	13	río	tradución
cutlet	14	risa	tradución
cutlet	15	Acad	transliteración
cutlet	16	corno	tradución
cutlet	17	o cántaro baleiro	tradución
month	1	barro	tradución
month	2	granada	tradución
month	3	cóbado	tradución
month	4	envexa	tradución
month	5	Eridu	transliteración
month	6	pasta de dentes	tradución
month	7	tres partes de cinco	tradución
month	8	Karshumab	transliteración
month	9	tigre	tradución
month	10	estaño	tradución
month	11	néboa	tradución
month	12	incenso	tradución
month	13	fuso	tradución
month	14	costela	tradución
month	15	alfarroba	tradución
month	16	Uruk	transliteración
month	17	vergoña	tradución
month	18	camelo	tradución
month	19	cobre	tradución
month	20	pozo	tradución
month	21	xema	tradución
month	22	estrela	tradución
month	23	mel	tradución
month	24	bazo	tradución
month	25	pedra calcaria	tradución
month	26	alegría	tradución
month	27	figo	tradución
month	28	Nínive	transliteración
month	29	ra	tradución
month	30	alcatrán	tradución
month	31	vela	tradución
month	32	a porta pechada	tradución
month	33	sésamo	tradución
month	34	caluga	tradución
month	35	prata	tradución
month	36	lirio	tradución
month	37	treboada	tradución
month	38	burro	tradución
month	39	fariña	tradución
month	40	arrepentimento	tradución
month	41	Babilonia	transliteración
month	42	lingua	tradución
month	43	liño	tradución
month	44	sal	tradución
month	45	pera	tradución
month	46	arco	tradución
month	47	area	tradución
