kind,canonicalIndex,sourceKey,elefen,mode
CUTLET,1,bronze,bronze,SEMANTIC_TRANSLATION
CUTLET,2,fox,volpe,SEMANTIC_TRANSLATION
CUTLET,3,kidney,ren,SEMANTIC_TRANSLATION
CUTLET,4,lagash,Lagax,PROPER_NAME_TRANSLITERATION
CUTLET,5,thought,pensa,SEMANTIC_TRANSLATION
CUTLET,6,four_ninths,cuatro partes de nove,SEMANTIC_TRANSLATION
CUTLET,7,nonsense_palgurash,Palgurax,NONSENSE_TRANSLITERATION
CUTLET,8,rush,junco,SEMANTIC_TRANSLATION
CUTLET,9,cluster,grupo,SEMANTIC_TRANSLATION
CUTLET,10,scorpion,scorpion,SEMANTIC_TRANSLATION
CUTLET,11,ash,senisa,SEMANTIC_TRANSLATION
CUTLET,12,wheat,trigo,SEMANTIC_TRANSLATION
CUTLET,13,river,rio,SEMANTIC_TRANSLATION
CUTLET,14,laughter,rie,SEMANTIC_TRANSLATION
CUTLET,15,akkad,Acad,PROPER_NAME_DICTIONARY
CUTLET,16,horn,corno,SEMANTIC_TRANSLATION
CUTLET,17,empty_jug,carafa vacua,SEMANTIC_TRANSLATION
MONTH,1,clay,argila,SEMANTIC_TRANSLATION
MONTH,2,pomegranate,granada,SEMANTIC_TRANSLATION
MONTH,3,elbow,codo,SEMANTIC_TRANSLATION
MONTH,4,envy,invia,SEMANTIC_TRANSLATION
MONTH,5,eridu,Eridu,PROPER_NAME_TRANSLITERATION
MONTH,6,toothpaste,pasta de dentes,SEMANTIC_TRANSLATION
MONTH,7,three_fifths,tre partes de sinco,SEMANTIC_TRANSLATION
MONTH,8,nonsense_karshumab,Carxumab,NONSENSE_TRANSLITERATION
MONTH,9,tiger,tigre,SEMANTIC_TRANSLATION
MONTH,10,tin,stanio,SEMANTIC_TRANSLATION
MONTH,11,fog,nebla,SEMANTIC_TRANSLATION
MONTH,12,frankincense,olibano,SEMANTIC_TRANSLATION
MONTH,13,spindle,fuso,SEMANTIC_TRANSLATION
MONTH,14,rib,costela,SEMANTIC_TRANSLATION
MONTH,15,carob,caroba,SEMANTIC_TRANSLATION
MONTH,16,uruk,Uruc,PROPER_NAME_TRANSLITERATION
MONTH,17,shame,vergon,SEMANTIC_TRANSLATION
MONTH,18,camel,camel,SEMANTIC_TRANSLATION
MONTH,19,copper,cupre,SEMANTIC_TRANSLATION
MONTH,20,well,puso,SEMANTIC_TRANSLATION
MONTH,21,yolk,vitelo,SEMANTIC_TRANSLATION
MONTH,22,star,stela,SEMANTIC_TRANSLATION
MONTH,23,honey,miel,SEMANTIC_TRANSLATION
MONTH,24,spleen,bile,SEMANTIC_TRANSLATION
MONTH,25,limestone,roca de calsio,SEMANTIC_TRANSLATION
MONTH,26,joy,felisia,SEMANTIC_TRANSLATION
MONTH,27,fig,figa,SEMANTIC_TRANSLATION
MONTH,28,nineveh,Ninive,PROPER_NAME_TRANSLITERATION
MONTH,29,frog,rana,SEMANTIC_TRANSLATION
MONTH,30,tar,catran,SEMANTIC_TRANSLATION
MONTH,31,candle,candela,SEMANTIC_TRANSLATION
MONTH,32,closed_door,porta cluida,SEMANTIC_TRANSLATION
MONTH,33,sesame,sesamo,SEMANTIC_TRANSLATION
MONTH,34,nape,nuca,SEMANTIC_TRANSLATION
MONTH,35,silver,arjento,SEMANTIC_TRANSLATION
MONTH,36,lily,lil,SEMANTIC_TRANSLATION
MONTH,37,storm,tempesta,SEMANTIC_TRANSLATION
MONTH,38,donkey,asino,SEMANTIC_TRANSLATION
MONTH,39,flour,farina,SEMANTIC_TRANSLATION
MONTH,40,regret,regrete,SEMANTIC_TRANSLATION
MONTH,41,babylon,Babilon,PROPER_NAME_DICTIONARY
MONTH,42,tongue,lingua,SEMANTIC_TRANSLATION
MONTH,43,flax,lino,SEMANTIC_TRANSLATION
MONTH,44,salt,sal,SEMANTIC_TRANSLATION
MONTH,45,pear,pera,SEMANTIC_TRANSLATION
MONTH,46,bow,arco,SEMANTIC_TRANSLATION
MONTH,47,sand,arena,SEMANTIC_TRANSLATION
