category	canonicalIndex	canonicalId	espanol	regla
cutlet	1	CUTLET_01	Bronce	traducción semántica
cutlet	2	CUTLET_02	Zorro	traducción semántica
cutlet	3	CUTLET_03	Riñón	traducción semántica
cutlet	4	CUTLET_04	Lagash	transliteración determinista de topónimo
cutlet	5	CUTLET_05	Pensamiento	traducción semántica
cutlet	6	CUTLET_06	Cuatro novenos	traducción del sintagma completo
cutlet	7	CUTLET_07	Palgurash	transliteración determinista de nombre inventado
cutlet	8	CUTLET_08	Papiro	traducción semántica
cutlet	9	CUTLET_09	Racimo	traducción semántica
cutlet	10	CUTLET_10	Escorpión	traducción semántica
cutlet	11	CUTLET_11	Ceniza	traducción semántica
cutlet	12	CUTLET_12	Trigo	traducción semántica
cutlet	13	CUTLET_13	Río	traducción semántica
cutlet	14	CUTLET_14	Risa	traducción semántica
cutlet	15	CUTLET_15	Acad	forma española estable del topónimo
cutlet	16	CUTLET_16	Cuerno	traducción semántica
cutlet	17	CUTLET_17	La jarra vacía	traducción semántica
month	1	MONTH_01	Arcilla	traducción semántica
month	2	MONTH_02	Granada	traducción semántica
month	3	MONTH_03	Codo	traducción semántica
month	4	MONTH_04	Envidia	traducción semántica
month	5	MONTH_05	Eridu	transliteración determinista de topónimo
month	6	MONTH_06	Pasta de dientes	traducción semántica
month	7	MONTH_07	Tres quintos	traducción del sintagma completo
month	8	MONTH_08	Karshumav	transliteración determinista de nombre inventado
month	9	MONTH_09	Leopardo	traducción semántica
month	10	MONTH_10	Estaño	traducción semántica
month	11	MONTH_11	Niebla	traducción semántica
month	12	MONTH_12	Olíbano	traducción semántica
month	13	MONTH_13	Huso	traducción semántica
month	14	MONTH_14	Costilla	traducción semántica
month	15	MONTH_15	Algarroba	traducción semántica
month	16	MONTH_16	Uruk	transliteración determinista de topónimo
month	17	MONTH_17	Vergüenza	traducción semántica
month	18	MONTH_18	Camello	traducción semántica
month	19	MONTH_19	Cobre	traducción semántica
month	20	MONTH_20	Pozo	traducción semántica
month	21	MONTH_21	Yema	traducción semántica
month	22	MONTH_22	Estrella	traducción semántica
month	23	MONTH_23	Miel	traducción semántica
month	24	MONTH_24	Bazo	traducción semántica
month	25	MONTH_25	Piedra caliza	traducción semántica
month	26	MONTH_26	Alegría	traducción semántica
month	27	MONTH_27	Higo	traducción semántica
month	28	MONTH_28	Nínive	transliteración española estable de topónimo
month	29	MONTH_29	Rana	traducción semántica
month	30	MONTH_30	Alquitrán	traducción semántica
month	31	MONTH_31	Vela	traducción semántica
month	32	MONTH_32	La puerta cerrada	traducción semántica
month	33	MONTH_33	Sésamo	traducción semántica
month	34	MONTH_34	Nuca	traducción semántica
month	35	MONTH_35	Plata	traducción semántica
month	36	MONTH_36	Susa	forma española estable del topónimo
month	37	MONTH_37	Tormenta	traducción semántica
month	38	MONTH_38	Asno	traducción semántica
month	39	MONTH_39	Harina	traducción semántica
month	40	MONTH_40	Arrepentimiento	traducción semántica
month	41	MONTH_41	Babilonia	forma española estable del topónimo
month	42	MONTH_42	Lengua	traducción semántica
month	43	MONTH_43	Lino	traducción semántica
month	44	MONTH_44	Sal	traducción semántica
month	45	MONTH_45	Pera	traducción semántica
month	46	MONTH_46	Arco	traducción semántica
month	47	MONTH_47	Arena	traducción semántica
