domain	canonical_index	key	state	method	roots	stems	specifications	operations_or_cases	text	transliteration_diacritics	unicode_nfc	official_evidence	audit_note
cutlet	1	bronze	VERIFIED_STATIC	DERIVATIONAL_COMPOSITION	KSV+MẒ+ŽPR	1+1+1	BSC+BSC+BSC	CPS:MẒ+ŽPR	aksvala amẓali’i ažprali’i	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:KSV/MẒ/ŽPR;CASE:CPS	ALLOY_COMPONENTS_COPPER_TIN
cutlet	2	fox	VERIFIED_STATIC	LEXICAL	ZVW	2	BSC	NONE	ezvwala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ZVW;MORPHOLOGY:STEM2/BSC	DIRECT_LEXICAL
cutlet	3	kidney	VERIFIED_STATIC	LEXICAL	PFL	2	BSC	NONE	epflala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:PFL;MORPHOLOGY:STEM2/BSC	DIRECT_LEXICAL
cutlet	4	lagash	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	lagaš	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY	PROPER_NAME_NATIVE_PHONETIC_NO_SEMANTIC_TRANSLATION
cutlet	5	thought	VERIFIED_STATIC	LEXICAL	SL	1	CSV	NONE	aslela	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:SL;MORPHOLOGY:STEM1/CSV	CSV_THOUGHT_SENSE
cutlet	6	four_parts_of_nine	VERIFIED_STATIC	DERIVATIONAL_NUMERIC	PŠ+LẒ	1+1	BSC+OBJ	PAR:DENOMINATOR	apšala alẓilui	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	NUMBERS:PŠ=4/LẒ=9;CASE:PAR	FRACTION_4_9_PAR_NO_OLD_KŘ
cutlet	7	palgurash	VERIFIED_STATIC	TRANSLITERATION	PROPER_NAME			PROPER_NAME_PHONETIC_RENDERING	palguraš	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	APPENDICES:PROPER_NAME_RENDERING;PHONOLOGY	PROPER_NAME_NATIVE_PHONETIC
cutlet	8	papyrus	VERIFIED_STATIC	LEXICAL	ḐKY	2	BSC	NONE	eḑkyala	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:ḐKY;MORPHOLOGY:STEM2/BSC	DIRECT_LEXICAL
cutlet	9	cluster	VERIFIED_STATIC	LEXICAL	CY	1	CTE	NONE	acyäla	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:CY;MORPHOLOGY:STEM1/CTE	DIRECT_LEXICAL
cutlet	10	scorpion	VERIFIED_STATIC	DERIVATIONAL_TAXONOMIC	GGZ	1	BSC	TXN/6 Type-2	aggzaloubva	PASS_CURRENT_ROMANIZATION_AND_DIACRITICS	PASS	LEXICON_1.0.1.1:GGZ;AFFIX:TXN/6-T2	SCORPION_TXN6_SCORPIONES_NO_ZT
